"","Draft-Year","GP","MIN","PTS","FGA","FGP","3PA","3PP","FTA","FTP","OREB","DREB","AST","BLK","PF","Classe"
"Jae Crowder","2012","78","17.3","5","4.7","38.4","2.5","32.8","0.9","64.4","0.4","1.9","1.2","0.2","1.6","1"
"Draymond Green","2012","79","13.4","2.9","3.3","32.7","0.8","20.9","0.7","81.8","0.7","2.6","0.7","0.3","2","1"
"Quincy Acy","2012","29","11.8","4","2.6","56","0.1","50","1.3","81.6","1","1.6","0.4","0.5","1.8","1"
"Quincy Miller","2012","7","3.7","1.3","1.7","33.3","0.1","0","0.3","50","0.1","0.1","0.4","0","0.4","0"
"Khris Middleton","2012","27","17.6","6.1","5.2","44","1.7","31.1","1.2","84.4","0.1","1.7","1","0.1","2","1"
"Will Barton","2012","73","12.2","4","4.2","38.2","0.9","13.8","0.9","76.9","0.5","1.5","0.8","0.1","0.8","1"
"Tyshawn Taylor","2012","38","5.8","2.2","2.3","36.8","0.3","46.2","0.7","55.6","0.1","0.4","0.6","0","0.7","0"
"Doron Lamb","2012","47","12.3","3.3","3.5","36.8","0.8","37.8","0.7","58.8","0.2","0.8","0.7","0","1.1","0"
"Mike Scott","2012","40","9.4","4.6","3.7","47.6","0","0","1.4","76.8","1","1.8","0.3","0.1","0.8","1"
"Kim English","2012","41","9.9","2.9","2.7","37.5","1.2","28","0.7","72.4","0.2","0.7","0.6","0.1","1.1","0"
"Darius Miller","2012","52","13.3","2.3","2.1","40.7","1.1","39.3","0.2","100","0.2","1.3","0.8","0.2","1.7","1"
"Kevin Murphy","2012","17","3.1","0.9","1.6","25","0.3","20","0","0","0","0.2","0.1","0","0.2","0"
"Kyle O'Quinn","2012","57","11.2","4.1","3.5","51.3","0","0","0.8","66.7","1.1","2.5","0.9","0.5","1.9","1"
"Kris Joseph","2012","10","5.4","0.9","1.4","14.3","0.3","0","0.8","62.5","0.1","0.6","0.1","0","0.3","0"
"Tornike Shengelia","2012","19","4.9","1.6","1.2","43.5","0.1","50","0.8","56.3","0.5","0.7","0.2","0.1","0.6","0"
"Darius Johnson-Odom","2012","4","1.4","0","1","0","0.3","0","0","0","0.3","0.8","0.3","0","0","0"
"Robert Sacre","2012","32","6.4","1.3","1.5","37.5","0","0","0.3","63.6","0.3","0.8","0.2","0.3","1.2","0"
"Anthony Davis","2012","64","28.8","13.5","10.6","51.6","0.1","0","3.5","75.1","2.6","5.6","1","1.8","2.5","1"
"Michael Kidd-Gilchrist","2012","78","26","9","7.9","45.8","0.1","22.2","2.4","74.9","1.7","4.2","1.5","0.9","2.1","1"
"Bradley Beal","2012","56","31.2","13.9","12.3","41","4.2","38.6","2.8","78.6","0.8","3","2.4","0.5","2","1"
"Dion Waiters","2012","61","28.8","14.7","13.4","41.2","3.3","31","3.5","74.6","0.4","2.1","3","0.3","1.9","1"
"Thomas Robinson","2012","70","15.1","4.8","4.6","43","0","0","1.6","52.3","1.7","2.8","0.7","0.4","1.8","1"
"Damian Lillard","2012","82","38.6","19","15.7","42.9","6.1","36.8","3.9","84.4","0.5","2.6","6.5","0.2","2.1","1"
"Harrison Barnes","2012","81","25.4","9.2","7.8","43.9","1.8","35.9","2.3","75.8","0.7","3.5","1.2","0.2","1.7","1"
"Terrence Ross","2012","73","17","6.4","6.3","40.7","2.7","33.2","0.6","71.4","0.5","1.5","0.7","0.2","1.7","1"
"Andre Drummond","2012","60","20.7","7.9","5.7","60.8","0","50","2.7","37.1","2.8","4.8","0.5","1.6","2.4","1"
"Austin Rivers","2012","61","23.2","6.2","6.4","37.2","1.4","32.6","1.8","54.6","0.3","1.5","2.1","0.1","2","1"
"Meyers Leonard","2012","69","17.5","5.5","4","54.5","0.1","42.9","1.3","80.9","1.2","2.5","0.5","0.6","2.4","1"
"Jeremy Lamb","2012","23","6.4","3.1","3","35.3","1.3","30","0.6","100","0.2","0.6","0.2","0.1","0.6","1"
"John Henson","2012","63","13.1","6","5.3","48.2","0","0","1.7","53.3","1.8","2.9","0.5","0.7","1.3","1"
"Maurice Harkless","2012","76","26","8.2","7.4","46.1","1.5","27.4","1.7","57","1.6","2.8","0.7","0.8","1.9","1"
"Tyler Zeller","2012","77","26.4","7.9","7.3","43.8","0.1","0","2","76.4","2.1","3.6","1.2","0.9","3.3","1"
"Terrence Jones","2012","19","14.5","5.5","4.9","45.7","1","26.3","0.9","76.5","1.5","1.9","0.8","1","1.1","1"
"Andrew Nicholson","2012","75","16.7","7.8","6.5","52.7","0","0","1.3","79.8","0.9","2.5","0.6","0.4","1.8","1"
"Evan Fournier","2012","38","11.3","5.3","4","49.3","1.4","40.7","1","76.9","0.2","0.8","1.2","0","1.7","1"
